Sentence,Technical_terms
"restful web services use rest api as means of implementation using the http protocol. rest api is nothing but an application programming interface that follows rest architectural constraints such as statelessness, cacheability, maintainability, and scalability. it has become very popular among the developer community due to its simplicity. hence, it is very important to develop safe and secure rest apis that follow good conventions. below are some best practices for developing rest apis:","api, rest, http"
4. what are idempotent methods? how is it relevant in restful web services domain?,rest
"the meaning of idempotent is that even after calling a single request multiple times, the outcome of the request should be the same. while designing rest apis, we need to keep in mind to develop idempotent apis. this is because the consumers can write client-side code which can result in duplicate requests intentionally or not. hence, fault-tolerant apis need to be designed so that they do not result in erroneous responses.","api, rest"
5. what are the differences between rest and ajax?,rest
6. can you tell what constitutes the core components of http request?,http
"in rest, any http request has 5 main components, they are:","rest, http"
7. what constitutes the core components of http response?,http
http response has 4 components:,http
8. define addressing in terms of restful web services.,rest
9. what are the differences between put and post in rest?,rest
10. what makes rest services to be easily scalable?,rest
rest services follow the concept of statelessness which essentially means no storing of any data across the requests on the server. this makes it easier to scale horizontally because the servers need not communicate much with each other while serving requests.,rest
"11. based on what factors, you can decide which type of web services you need to use - soap or rest?",rest
"rest services have gained popularity due to the nature of simplicity, scalability, faster speed, improved performance, and multiple data format support. but, soap has its own advantages too. developers use soap where the services require advanced security and reliability.",rest
12. we can develop webservices using web sockets as well as rest. what are the differences between these two?,rest
the request flow difference between the rest and web socket is shown below:,rest
13. can we implement transport layer security (tls) in rest?,rest
"yes, we can. tls does the task of encrypting the communication between the rest client and the server and provides the means to authenticate the server to the client. it is used for secure communication as it is the successor of the secure socket layer (ssl). https works well with both tls and ssl thereby making it effective while implementing restful web services. one point to mention here is, the rest inherits the property of the protocol it implements. so security measures are dependent on the protocol rest implements.","rest, http"
15. what is payload in terms of restful web services?,rest
17. how can you test restful web services?,rest
"restful web services can be tested using various tools like postman, swagger, etc. postman provides a lot of features like sending requests to endpoints and show the response which can be converted to json or xml and also provides features to inspect request parameters like headers, query parameters, and also the response headers. swagger also provides similar features like postman and it provides the facility of documentation of the endpoints too. we can also use tools like jmeter for performance and load testing of apis.","api, rest"
"theoretically, there is no restriction on the size of the payload that can be sent. but one must remember that the greater the size of the payload, the larger would be the bandwidth consumption and time taken to process the request that can impact the server performance.",rest
19. how does http basic authentication work?,http
"while implementing basic authentication as part of apis, the user must provide the username and password which is then concatenated by the browser in the form of “username: password” and then perform base64 encoding on it. the encoded value is then sent as the value for the “authorization” header on every http request from the browser. since the credentials are only encoded, it is advised to use this form when requests are sent over https as they are not secure and can be intercepted by anyone if secure protocols are not used.","api, http"
20. what is the difference between idempotent and safe http methods?,http
"according to restcookbook.com, the following is the table that describes what methods are idempotent and what is safe.",rest
"they are the runtime annotations in the jax-rs library that are applied to java methods. they correspond to the http request methods that the clients want to make. they are @get, @post, @put, @delete, @head.",http
"yes. the jax-rs client api provides a method called invocation.builder.async() that is used for constructing client requests that need to be executed asynchronously. invoking a request asynchronously does the task of returning the control to the caller by returning with datatype java.util.concurrent.future whose type is set to return the service call type. future objects are used because they have the required methods to check whether the asynchronous calls have been completed and if yes, then retrieve the responses. they also provide the flexibility to cancel the request invocations and also check if the cancellation has been successful.",api
4. list the key annotations that are present in the jax-rs api?,api
5. define restful root resource classes in the jax-rs api?,"api, rest"
6. what are the key features provided by jax-rs api in java ee?,api
jax-rs stands for java api for restful web services. they are nothing but a set of java-based apis that are provided in the java ee which is useful in the implementation and development of restful web services.,"api, rest"
spring restful web services interview questions,rest
1. define resttemplate in spring.,rest
"the resttemplate is the main class meant for the client-side access for spring-based restful services. the communication to the server is accomplished using the rest constraints. this is similar to other template classes such as jdbctemplate, hibernatetemplate, etc provided by spring. the resttemplate provides high-level implementation details for the http methods like get, post, put, etc, and gives the methods to communicate using the uri template, uri path params, request/response types, request object, etc as part of arguments.","rest, http"
3. what are the differences between the annotations @controller and @restcontroller?,rest
5. is it necessary to keep spring mvc in the classpath for developing restful web services?,rest
"yes. spring mvc needs to be on the classpath of the application while developing restful web services using spring. this is because, the spring mvc provides the necessary annotations like @restcontroller, @requestbody, @pathvariable, etc. hence the spring-mvc.jar needs to be on the classpath or the corresponding maven entry in the pom.xml.",rest
6. define httpmessageconverter in terms of spring rest?,"rest, http"
"httpmessageconverter is a strategic interface that specified a converter for conversion between http requests and responses. spring rest uses the httpmessageconverter for converting responses to various data formats like json, xml, etc. spring makes use of the “accept” header for determining the type of content the client expects. based on this, spring would find the registered message converter interface that is capable of this conversion.","rest, http"
"we have seen what are the most commonly asked questions on restful web services during an interview. rest apis have become a very important tool in the software industry. developing restful web services that are scalable and easily maintainable is considered an art. as the industry trends increase, the rest architecture would become more concrete and the demand for developers who know the development of restful web services would increase steadily.","api, rest"
"to learn more about rest, you can refer to the below 2 links:https://restcookbook.com/https://www.restapitutorial.com/","api, rest, http"
rest api mcq,"api, rest"
what protocol does rest follow?,rest
is it possible to maintain sessions in rest on the server-side?,rest
http code 200 represents which among the following?,http
which of the below does the task of binding the parameters passed to the http method to http header while using jax rs api?,"api, http"
what method should be used to obtain a list of supported operations in rest services?,rest
what constraint is not a strict requirement for a service to be called a restful web service?,rest
which among the below directives belonging to the cache-control header of http response provide information to the server that the resources have to be revalidated if max-age has crossed?,http
what category do 1xx http status codes belong to?,http
which component of http response has the metadata for stating the type of response message is in the form of key-value pairs?,http
which of the following options are true for rest services?,rest
what category does the 5xx http code belong to?,http
which directive of the cache-control header in the http response tells that the resource cannot be cached?,http
